分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,125.0,13.0,232.0,
HC,384.0,9.0,419.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,55.0,6.0,104.0,
HC_oxy,170.0,7.0,166.0,
PTSD_dxy,56.0,7.0,98.0,
HC_dxy,141.0,2.0,163.0,
PTSD_total,14.0,0.0,30.0,
HC_total,73.0,0.0,90.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,0.0,0.0,5.0,
HC_1,16.0,0.0,15.0,
PTSD_2,0.0,0.0,0.0,
HC_2,8.0,0.0,8.0,
PTSD_3,5.0,3.0,8.0,
HC_3,18.0,0.0,18.0,
PTSD_4,0.0,0.0,2.0,
HC_4,9.0,1.0,15.0,
PTSD_5,12.0,0.0,16.0,
HC_5,19.0,3.0,19.0,
PTSD_6,0.0,0.0,0.0,
HC_6,18.0,1.0,23.0,
PTSD_7,4.0,2.0,3.0,
HC_7,10.0,0.0,14.0,
PTSD_8,0.0,0.0,1.0,
HC_8,3.0,0.0,4.0,
PTSD_9,6.0,1.0,9.0,
HC_9,6.0,0.0,4.0,
PTSD_10,1.0,0.0,3.0,
HC_10,19.0,0.0,22.0,
PTSD_11,4.0,0.0,6.0,
HC_11,11.0,0.0,12.0,
PTSD_12,7.0,0.0,14.0,
HC_12,15.0,0.0,17.0,
PTSD_13,2.0,0.0,8.0,
HC_13,14.0,0.0,12.0,
PTSD_14,1.0,0.0,8.0,
HC_14,14.0,0.0,16.0,
PTSD_15,8.0,0.0,8.0,
HC_15,10.0,0.0,12.0,
PTSD_16,3.0,0.0,6.0,
HC_16,14.0,0.0,15.0,
PTSD_17,0.0,0.0,4.0,
HC_17,18.0,0.0,18.0,
PTSD_18,3.0,0.0,7.0,
HC_18,7.0,0.0,8.0,
PTSD_19,6.0,2.0,6.0,
HC_19,11.0,0.0,9.0,
PTSD_20,0.0,0.0,0.0,
HC_20,6.0,0.0,7.0,
PTSD_21,0.0,0.0,1.0,
HC_21,11.0,2.0,13.0,
PTSD_22,0.0,0.0,0.0,
HC_22,7.0,1.0,9.0,
PTSD_23,0.0,0.0,0.0,
HC_23,4.0,0.0,4.0,
PTSD_24,3.0,1.0,5.0,
HC_24,0.0,0.0,0.0,
PTSD_25,1.0,0.0,0.0,
HC_25,9.0,0.0,13.0,
PTSD_26,0.0,0.0,2.0,
HC_26,7.0,0.0,4.0,
PTSD_27,5.0,0.0,6.0,
HC_27,2.0,0.0,0.0,
PTSD_28,0.0,0.0,0.0,
HC_28,0.0,0.0,0.0,
PTSD_29,3.0,0.0,5.0,
HC_29,3.0,0.0,8.0,
PTSD_30,5.0,0.0,8.0,
HC_30,4.0,0.0,2.0,
PTSD_31,0.0,0.0,0.0,
