分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,58.0,3.0,103.0,
HC,207.0,12.0,229.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,24.0,2.0,46.0,
HC_oxy,88.0,5.0,88.0,
PTSD_dxy,21.0,1.0,40.0,
HC_dxy,80.0,7.0,87.0,
PTSD_total,13.0,0.0,17.0,
HC_total,39.0,0.0,54.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,11.0,2.0,12.0,
HC_21,20.0,2.0,14.0,
PTSD_22,11.0,0.0,12.0,
HC_22,20.0,0.0,19.0,
PTSD_38,3.0,0.0,11.0,
HC_38,15.0,0.0,19.0,
PTSD_48,7.0,0.0,12.0,
HC_48,19.0,0.0,19.0,
PTSD_45,0.0,0.0,1.0,
HC_45,22.0,4.0,22.0,
PTSD_46,1.0,1.0,1.0,
HC_46,12.0,3.0,21.0,
PTSD_47,1.0,0.0,1.0,
HC_47,19.0,0.0,29.0,
PTSD_44,0.0,0.0,0.0,
HC_44,15.0,0.0,15.0,
PTSD_10,0.0,0.0,1.0,
HC_10,6.0,3.0,9.0,
PTSD_11,2.0,0.0,8.0,
HC_11,12.0,0.0,13.0,
PTSD_20,9.0,0.0,8.0,
HC_20,13.0,0.0,11.0,
PTSD_6,3.0,0.0,4.0,
HC_6,9.0,0.0,11.0,
PTSD_43,3.0,0.0,10.0,
HC_43,12.0,0.0,11.0,
PTSD_4,3.0,0.0,10.0,
HC_4,6.0,0.0,6.0,
PTSD_2,2.0,0.0,6.0,
HC_2,6.0,0.0,8.0,
PTSD_9,0.0,0.0,0.0,
HC_9,0.0,0.0,0.0,
PTSD_3,2.0,0.0,6.0,
HC_3,1.0,0.0,2.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,13.0,0.0,26.0,
HC_Resting,61.0,1.0,71.0,
PTSD_Count1,48.0,3.0,73.0,
HC_Count1,102.0,4.0,116.0,
PTSD_Speak,9.0,2.0,19.0,
HC_Speak,51.0,4.0,53.0,
PTSD_Count2,12.0,1.0,36.0,
HC_Count2,58.0,7.0,61.0,
PTSD_Listen,16.0,0.0,23.0,
HC_Listen,54.0,3.0,61.0,
PTSD_Count3,18.0,0.0,29.0,
HC_Count3,88.0,5.0,96.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,19.0,0.0,20.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,8.0,0.0,6.0,
dxy,3.0,0.0,6.0,
total,8.0,0.0,8.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,3.0,0.0,2.0,
22,0.0,0.0,0.0,
38,2.0,0.0,3.0,
48,2.0,0.0,3.0,
45,2.0,0.0,1.0,
46,0.0,0.0,1.0,
47,2.0,0.0,2.0,
44,1.0,0.0,2.0,
10,0.0,0.0,0.0,
11,1.0,0.0,1.0,
20,0.0,0.0,0.0,
6,1.0,0.0,0.0,
43,0.0,0.0,1.0,
4,2.0,0.0,4.0,
2,0.0,0.0,0.0,
9,0.0,0.0,0.0,
3,3.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,1.0,0.0,3.0,
Count1,0.0,0.0,0.0,
Speak,0.0,0.0,0.0,
Count2,5.0,0.0,5.0,
Listen,6.0,0.0,5.0,
Count3,7.0,0.0,7.0,
