分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,152.0,19.0,233.0,
HC,381.0,18.0,389.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,67.0,7.0,98.0,
HC_oxy,170.0,12.0,155.0,
PTSD_dxy,71.0,12.0,99.0,
HC_dxy,137.0,6.0,153.0,
PTSD_total,14.0,0.0,36.0,
HC_total,74.0,0.0,81.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,0.0,0.0,1.0,
HC_1,15.0,0.0,11.0,
PTSD_2,1.0,0.0,1.0,
HC_2,5.0,0.0,4.0,
PTSD_3,8.0,5.0,10.0,
HC_3,15.0,0.0,13.0,
PTSD_4,6.0,1.0,12.0,
HC_4,9.0,1.0,15.0,
PTSD_5,15.0,0.0,15.0,
HC_5,16.0,3.0,15.0,
PTSD_6,2.0,0.0,3.0,
HC_6,21.0,2.0,25.0,
PTSD_7,2.0,1.0,5.0,
HC_7,12.0,1.0,15.0,
PTSD_8,0.0,0.0,3.0,
HC_8,10.0,2.0,11.0,
PTSD_9,5.0,1.0,6.0,
HC_9,6.0,0.0,4.0,
PTSD_10,3.0,0.0,2.0,
HC_10,15.0,0.0,19.0,
PTSD_11,5.0,1.0,5.0,
HC_11,9.0,0.0,6.0,
PTSD_12,3.0,0.0,6.0,
HC_12,15.0,0.0,14.0,
PTSD_13,2.0,0.0,5.0,
HC_13,12.0,0.0,12.0,
PTSD_14,1.0,0.0,6.0,
HC_14,14.0,0.0,15.0,
PTSD_15,7.0,2.0,8.0,
HC_15,16.0,0.0,11.0,
PTSD_16,2.0,0.0,6.0,
HC_16,20.0,1.0,20.0,
PTSD_17,2.0,1.0,2.0,
HC_17,16.0,0.0,18.0,
PTSD_18,2.0,0.0,3.0,
HC_18,4.0,0.0,3.0,
PTSD_19,9.0,4.0,10.0,
HC_19,8.0,0.0,4.0,
PTSD_20,0.0,0.0,1.0,
HC_20,4.0,0.0,6.0,
PTSD_21,2.0,0.0,3.0,
HC_21,11.0,2.0,18.0,
