分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,55.0,3.0,83.0,
HC,191.0,9.0,193.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,27.0,3.0,39.0,
HC_oxy,77.0,3.0,71.0,
PTSD_dxy,19.0,0.0,36.0,
HC_dxy,73.0,6.0,69.0,
PTSD_total,9.0,0.0,8.0,
HC_total,41.0,0.0,53.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,5.0,0.0,8.0,
HC_21,21.0,1.0,15.0,
PTSD_22,6.0,0.0,10.0,
HC_22,19.0,0.0,17.0,
PTSD_38,2.0,0.0,7.0,
HC_38,16.0,0.0,15.0,
PTSD_48,9.0,0.0,8.0,
HC_48,14.0,0.0,20.0,
PTSD_45,0.0,0.0,3.0,
HC_45,19.0,1.0,20.0,
PTSD_46,2.0,1.0,1.0,
HC_46,13.0,1.0,17.0,
PTSD_47,2.0,0.0,3.0,
HC_47,18.0,0.0,28.0,
PTSD_44,1.0,0.0,3.0,
HC_44,13.0,1.0,11.0,
PTSD_10,0.0,0.0,1.0,
HC_10,6.0,2.0,4.0,
PTSD_11,2.0,0.0,2.0,
HC_11,14.0,2.0,12.0,
PTSD_20,8.0,2.0,8.0,
HC_20,17.0,1.0,14.0,
PTSD_6,1.0,0.0,2.0,
HC_6,6.0,0.0,6.0,
PTSD_43,4.0,0.0,5.0,
HC_43,7.0,0.0,6.0,
PTSD_4,6.0,0.0,7.0,
HC_4,2.0,0.0,2.0,
PTSD_2,2.0,0.0,7.0,
HC_2,5.0,0.0,5.0,
PTSD_9,0.0,0.0,0.0,
HC_9,0.0,0.0,0.0,
PTSD_3,5.0,0.0,8.0,
HC_3,1.0,0.0,1.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,13.0,0.0,20.0,
HC_Resting,69.0,2.0,76.0,
PTSD_Count1,39.0,3.0,61.0,
HC_Count1,99.0,3.0,106.0,
PTSD_Speak,10.0,1.0,10.0,
HC_Speak,46.0,2.0,35.0,
PTSD_Count2,15.0,1.0,22.0,
HC_Count2,52.0,5.0,49.0,
PTSD_Listen,13.0,1.0,23.0,
HC_Listen,53.0,5.0,51.0,
PTSD_Count3,20.0,0.0,30.0,
HC_Count3,63.0,1.0,69.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,16.0,0.0,18.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,8.0,0.0,6.0,
dxy,4.0,0.0,5.0,
total,4.0,0.0,7.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,3.0,0.0,2.0,
22,0.0,0.0,0.0,
38,1.0,0.0,3.0,
48,2.0,0.0,2.0,
45,1.0,0.0,1.0,
46,0.0,0.0,1.0,
47,3.0,0.0,3.0,
44,0.0,0.0,2.0,
10,0.0,0.0,0.0,
11,1.0,0.0,1.0,
20,0.0,0.0,0.0,
6,1.0,0.0,0.0,
43,0.0,0.0,0.0,
4,2.0,0.0,3.0,
2,0.0,0.0,0.0,
9,0.0,0.0,0.0,
3,2.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,1.0,0.0,3.0,
Count1,0.0,0.0,0.0,
Speak,0.0,0.0,0.0,
Count2,6.0,0.0,5.0,
Listen,3.0,0.0,3.0,
Count3,6.0,0.0,7.0,
