分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,304.0,2.0,337.0,
HC,393.0,1.0,415.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,111.0,2.0,115.0,
HC_oxy,133.0,0.0,141.0,
PTSD_dxy,101.0,0.0,113.0,
HC_dxy,131.0,0.0,136.0,
PTSD_total,92.0,0.0,109.0,
HC_total,129.0,1.0,138.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Pre-Motor and Supplementary Motor Cortex,26.0,0.0,26.0,
HC_Pre-Motor and Supplementary Motor Cortex,28.0,0.0,29.0,
PTSD_Dorsolateral prefrontal cortex,24.0,0.0,27.0,
HC_Dorsolateral prefrontal cortex,28.0,0.0,30.0,
PTSD_Frontopolar area,22.0,0.0,24.0,
HC_Frontopolar area,31.0,0.0,33.0,
PTSD_Orbitofrontal area,28.0,0.0,25.0,
HC_Orbitofrontal area,31.0,0.0,33.0,
PTSD_Middle Temporal gyrus,25.0,0.0,29.0,
HC_Middle Temporal gyrus,26.0,1.0,30.0,
PTSD_Superior Temporal Gyrus,24.0,0.0,22.0,
HC_Superior Temporal Gyrus,30.0,0.0,30.0,
PTSD_Temporopolar area,23.0,0.0,27.0,
HC_Temporopolar area,32.0,0.0,34.0,
PTSD_Subcentral area,25.0,0.0,29.0,
HC_Subcentral area,28.0,0.0,33.0,
PTSD_pars opercularis_ part of Broca's area,17.0,2.0,22.0,
HC_pars opercularis_ part of Broca's area,34.0,0.0,35.0,
PTSD_pars triangularis Broca's area,24.0,0.0,27.0,
HC_pars triangularis Broca's area,34.0,0.0,35.0,
PTSD_Dorsolateral prefrontal cortex2,17.0,0.0,19.0,
HC_Dorsolateral prefrontal cortex2,32.0,0.0,33.0,
PTSD_Inferior prefrontal gyrus,28.0,0.0,30.0,
HC_Inferior prefrontal gyrus,26.0,0.0,28.0,
PTSD_Retrosubicular area,21.0,0.0,30.0,
HC_Retrosubicular area,33.0,0.0,32.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,90.0,1.0,100.0,
HC_Resting,116.0,1.0,121.0,
PTSD_Count1,57.0,0.0,66.0,
HC_Count1,113.0,1.0,115.0,
PTSD_Speak,135.0,2.0,159.0,
HC_Speak,158.0,0.0,163.0,
PTSD_Count2,70.0,0.0,77.0,
HC_Count2,120.0,0.0,133.0,
PTSD_Listen,82.0,1.0,85.0,
HC_Listen,119.0,0.0,120.0,
PTSD_Count3,174.0,0.0,187.0,
HC_Count3,160.0,0.0,178.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,15.0,0.0,7.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,5.0,0.0,0.0,
dxy,5.0,0.0,6.0,
total,5.0,0.0,1.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Pre-Motor and Supplementary Motor Cortex,1.0,0.0,0.0,
Dorsolateral prefrontal cortex,0.0,0.0,1.0,
Frontopolar area,0.0,0.0,0.0,
Orbitofrontal area,1.0,0.0,0.0,
Middle Temporal gyrus,0.0,0.0,0.0,
Superior Temporal Gyrus,0.0,0.0,1.0,
Temporopolar area,0.0,0.0,0.0,
Subcentral area,0.0,0.0,0.0,
pars opercularis_ part of Broca's area,5.0,0.0,2.0,
pars triangularis Broca's area,0.0,0.0,0.0,
Dorsolateral prefrontal cortex2,3.0,0.0,1.0,
Inferior prefrontal gyrus,0.0,0.0,0.0,
Retrosubicular area,5.0,0.0,2.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,0.0,0.0,0.0,
Count1,2.0,0.0,0.0,
Speak,1.0,0.0,2.0,
Count2,8.0,0.0,4.0,
Listen,0.0,0.0,0.0,
Count3,4.0,0.0,1.0,
