分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,841.0,2.0,1055.0,
HC,1212.0,0.0,1401.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,316.0,1.0,361.0,
HC_oxy,430.0,0.0,476.0,
PTSD_dxy,282.0,1.0,352.0,
HC_dxy,407.0,0.0,464.0,
PTSD_total,243.0,0.0,342.0,
HC_total,375.0,0.0,461.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,20.0,0.0,21.0,
HC_1,27.0,0.0,30.0,
PTSD_2,21.0,0.0,26.0,
HC_2,26.0,0.0,29.0,
PTSD_3,17.0,0.0,24.0,
HC_3,17.0,0.0,24.0,
PTSD_4,18.0,0.0,16.0,
HC_4,21.0,0.0,28.0,
PTSD_5,9.0,0.0,21.0,
HC_5,22.0,0.0,28.0,
PTSD_6,14.0,0.0,12.0,
HC_6,29.0,0.0,30.0,
PTSD_7,19.0,0.0,22.0,
HC_7,27.0,0.0,31.0,
PTSD_8,11.0,0.0,18.0,
HC_8,22.0,0.0,27.0,
PTSD_9,27.0,0.0,25.0,
HC_9,26.0,0.0,30.0,
PTSD_10,16.0,0.0,19.0,
HC_10,27.0,0.0,32.0,
PTSD_11,15.0,0.0,12.0,
HC_11,21.0,0.0,25.0,
PTSD_12,19.0,0.0,19.0,
HC_12,25.0,0.0,29.0,
PTSD_13,18.0,0.0,20.0,
HC_13,25.0,0.0,28.0,
PTSD_14,21.0,0.0,23.0,
HC_14,21.0,0.0,29.0,
PTSD_15,23.0,1.0,23.0,
HC_15,29.0,0.0,30.0,
PTSD_16,26.0,0.0,29.0,
HC_16,27.0,0.0,29.0,
PTSD_17,25.0,0.0,27.0,
HC_17,24.0,0.0,27.0,
PTSD_18,14.0,0.0,20.0,
HC_18,20.0,0.0,31.0,
PTSD_19,17.0,0.0,27.0,
