分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,258.0,151.0,292.0,
HC,258.0,116.0,279.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,104.0,59.0,122.0,
HC_oxy,106.0,47.0,115.0,
PTSD_dxy,104.0,59.0,122.0,
HC_dxy,106.0,47.0,115.0,
PTSD_total,50.0,33.0,48.0,
HC_total,46.0,22.0,49.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,8.0,5.0,5.0,
HC_1,10.0,0.0,10.0,
PTSD_2,8.0,0.0,10.0,
HC_2,0.0,0.0,0.0,
PTSD_3,8.0,0.0,10.0,
HC_3,14.0,4.0,15.0,
PTSD_4,6.0,6.0,8.0,
HC_4,17.0,3.0,17.0,
PTSD_5,4.0,0.0,4.0,
HC_5,10.0,0.0,11.0,
PTSD_6,14.0,12.0,14.0,
HC_6,2.0,2.0,3.0,
PTSD_7,0.0,0.0,2.0,
HC_7,4.0,4.0,4.0,
PTSD_8,0.0,0.0,0.0,
HC_8,4.0,4.0,7.0,
PTSD_9,0.0,0.0,0.0,
HC_9,1.0,0.0,3.0,
PTSD_10,7.0,5.0,5.0,
HC_10,2.0,2.0,4.0,
PTSD_11,0.0,0.0,0.0,
HC_11,11.0,11.0,11.0,
PTSD_12,12.0,8.0,12.0,
HC_12,17.0,6.0,15.0,
PTSD_13,18.0,7.0,17.0,
HC_13,11.0,6.0,12.0,
PTSD_14,15.0,9.0,13.0,
HC_14,6.0,0.0,6.0,
PTSD_15,14.0,8.0,19.0,
HC_15,14.0,7.0,14.0,
PTSD_16,2.0,2.0,4.0,
HC_16,8.0,6.0,10.0,
PTSD_17,3.0,1.0,6.0,
HC_17,2.0,2.0,2.0,
PTSD_18,4.0,4.0,6.0,
HC_18,11.0,7.0,11.0,
PTSD_19,4.0,2.0,2.0,
HC_19,12.0,2.0,10.0,
PTSD_20,10.0,7.0,14.0,
HC_20,10.0,0.0,12.0,
PTSD_21,11.0,5.0,11.0,
HC_21,2.0,0.0,2.0,
PTSD_22,11.0,2.0,13.0,
HC_22,2.0,0.0,2.0,
PTSD_23,2.0,1.0,3.0,
HC_23,0.0,0.0,0.0,
PTSD_24,13.0,11.0,13.0,
HC_24,0.0,0.0,1.0,
PTSD_25,4.0,4.0,5.0,
HC_25,0.0,0.0,0.0,
PTSD_26,2.0,2.0,5.0,
HC_26,0.0,0.0,0.0,
PTSD_27,0.0,0.0,0.0,
HC_27,0.0,0.0,2.0,
PTSD_28,1.0,1.0,2.0,
HC_28,0.0,0.0,0.0,
PTSD_29,2.0,2.0,2.0,
HC_29,9.0,3.0,4.0,
PTSD_30,1.0,0.0,3.0,
HC_30,2.0,0.0,0.0,
PTSD_31,3.0,3.0,3.0,
HC_31,8.0,8.0,8.0,
PTSD_32,6.0,4.0,4.0,
HC_32,2.0,0.0,3.0,
PTSD_33,15.0,13.0,17.0,
HC_33,9.0,6.0,10.0,
PTSD_34,7.0,2.0,7.0,
HC_34,7.0,5.0,15.0,
PTSD_35,6.0,6.0,10.0,
HC_35,0.0,0.0,2.0,
PTSD_36,4.0,4.0,8.0,
HC_36,2.0,0.0,6.0,
PTSD_37,7.0,1.0,8.0,
HC_37,14.0,10.0,10.0,
