分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,133.0,83.0,153.0,
HC,169.0,95.0,176.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,56.0,32.0,65.0,
HC_oxy,72.0,42.0,76.0,
PTSD_dxy,56.0,32.0,65.0,
HC_dxy,72.0,42.0,76.0,
PTSD_total,21.0,19.0,23.0,
HC_total,25.0,11.0,24.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,19.0,13.0,19.0,
HC_21,14.0,14.0,14.0,
PTSD_22,12.0,10.0,14.0,
HC_22,6.0,2.0,6.0,
PTSD_38,15.0,4.0,14.0,
HC_38,17.0,4.0,14.0,
PTSD_48,16.0,5.0,15.0,
HC_48,9.0,6.0,11.0,
PTSD_45,11.0,11.0,14.0,
HC_45,6.0,2.0,5.0,
PTSD_46,8.0,4.0,10.0,
HC_46,4.0,2.0,2.0,
PTSD_47,11.0,7.0,10.0,
HC_47,9.0,2.0,7.0,
PTSD_44,6.0,2.0,8.0,
HC_44,10.0,4.0,10.0,
PTSD_10,0.0,0.0,0.0,
HC_10,0.0,0.0,0.0,
PTSD_11,0.0,0.0,0.0,
HC_11,13.0,12.0,12.0,
PTSD_20,10.0,8.0,13.0,
HC_20,12.0,10.0,15.0,
PTSD_6,6.0,6.0,8.0,
HC_6,16.0,12.0,18.0,
PTSD_43,11.0,5.0,16.0,
HC_43,19.0,11.0,18.0,
PTSD_4,0.0,0.0,0.0,
HC_4,15.0,6.0,18.0,
PTSD_2,4.0,4.0,8.0,
HC_2,2.0,0.0,6.0,
PTSD_9,2.0,2.0,2.0,
HC_9,2.0,2.0,3.0,
PTSD_3,2.0,2.0,2.0,
HC_3,15.0,6.0,17.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,13.0,0.0,38.0,
HC_Resting,57.0,29.0,59.0,
PTSD_Count1,115.0,69.0,129.0,
HC_Count1,104.0,57.0,109.0,
PTSD_Speak,25.0,13.0,28.0,
HC_Speak,60.0,29.0,59.0,
PTSD_Count2,44.0,31.0,49.0,
HC_Count2,43.0,27.0,41.0,
PTSD_Listen,34.0,24.0,30.0,
HC_Listen,40.0,27.0,46.0,
PTSD_Count3,35.0,29.0,32.0,
HC_Count3,34.0,21.0,38.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,32.0,27.0,24.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,13.0,12.0,9.0,
dxy,13.0,12.0,9.0,
total,6.0,3.0,6.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,0.0,0.0,0.0,
22,2.0,2.0,2.0,
38,2.0,2.0,0.0,
48,3.0,2.0,2.0,
45,2.0,2.0,1.0,
46,1.0,0.0,1.0,
47,0.0,0.0,0.0,
44,4.0,2.0,0.0,
10,0.0,0.0,1.0,
11,0.0,0.0,0.0,
20,0.0,0.0,0.0,
6,2.0,2.0,4.0,
43,3.0,3.0,3.0,
4,7.0,7.0,7.0,
2,1.0,0.0,0.0,
9,0.0,0.0,0.0,
3,5.0,5.0,3.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,0.0,0.0,0.0,
Count1,4.0,4.0,2.0,
Speak,4.0,3.0,3.0,
Count2,6.0,4.0,7.0,
Listen,1.0,0.0,0.0,
Count3,17.0,16.0,12.0,
