分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,366.0,9.0,381.0,
HC,426.0,6.0,420.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,122.0,3.0,127.0,
HC_oxy,142.0,2.0,140.0,
PTSD_dxy,122.0,3.0,127.0,
HC_dxy,142.0,2.0,140.0,
PTSD_total,122.0,3.0,127.0,
HC_total,142.0,2.0,140.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Pre-Motor and Supplementary Motor Cortex,27.0,0.0,30.0,
HC_Pre-Motor and Supplementary Motor Cortex,30.0,0.0,30.0,
PTSD_Dorsolateral prefrontal cortex,27.0,0.0,27.0,
HC_Dorsolateral prefrontal cortex,27.0,0.0,27.0,
PTSD_Frontopolar area,27.0,0.0,27.0,
HC_Frontopolar area,30.0,0.0,27.0,
PTSD_Orbitofrontal area,27.0,6.0,27.0,
HC_Orbitofrontal area,39.0,3.0,39.0,
PTSD_Middle Temporal gyrus,27.0,0.0,27.0,
HC_Middle Temporal gyrus,33.0,0.0,33.0,
PTSD_Superior Temporal Gyrus,33.0,0.0,33.0,
HC_Superior Temporal Gyrus,33.0,0.0,33.0,
PTSD_Temporopolar area,27.0,0.0,27.0,
HC_Temporopolar area,36.0,0.0,36.0,
PTSD_Subcentral area,30.0,0.0,30.0,
HC_Subcentral area,30.0,0.0,33.0,
PTSD_pars opercularis_ part of Broca's area,27.0,0.0,30.0,
HC_pars opercularis_ part of Broca's area,36.0,0.0,33.0,
PTSD_pars triangularis Broca's area,27.0,0.0,30.0,
HC_pars triangularis Broca's area,33.0,0.0,30.0,
PTSD_Dorsolateral prefrontal cortex2,30.0,3.0,30.0,
HC_Dorsolateral prefrontal cortex2,30.0,0.0,33.0,
PTSD_Inferior prefrontal gyrus,27.0,0.0,27.0,
HC_Inferior prefrontal gyrus,33.0,3.0,33.0,
PTSD_Retrosubicular area,30.0,0.0,36.0,
HC_Retrosubicular area,36.0,0.0,33.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,123.0,0.0,135.0,
HC_Resting,165.0,3.0,168.0,
PTSD_Count1,126.0,3.0,126.0,
HC_Count1,132.0,3.0,126.0,
PTSD_Speak,120.0,3.0,126.0,
HC_Speak,144.0,0.0,141.0,
PTSD_Count2,120.0,6.0,120.0,
HC_Count2,144.0,0.0,135.0,
PTSD_Listen,120.0,6.0,132.0,
HC_Listen,138.0,6.0,144.0,
PTSD_Count3,123.0,0.0,123.0,
HC_Count3,129.0,0.0,126.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,21.0,0.0,27.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,7.0,0.0,9.0,
dxy,7.0,0.0,9.0,
total,7.0,0.0,9.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Pre-Motor and Supplementary Motor Cortex,6.0,0.0,6.0,
Dorsolateral prefrontal cortex,0.0,0.0,0.0,
Frontopolar area,0.0,0.0,3.0,
Orbitofrontal area,3.0,0.0,0.0,
Middle Temporal gyrus,3.0,0.0,3.0,
Superior Temporal Gyrus,0.0,0.0,3.0,
Temporopolar area,3.0,0.0,3.0,
Subcentral area,3.0,0.0,3.0,
pars opercularis_ part of Broca's area,0.0,0.0,3.0,
pars triangularis Broca's area,0.0,0.0,0.0,
Dorsolateral prefrontal cortex2,0.0,0.0,0.0,
Inferior prefrontal gyrus,0.0,0.0,0.0,
Retrosubicular area,3.0,0.0,3.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,3.0,0.0,3.0,
Count1,0.0,0.0,0.0,
Speak,3.0,0.0,9.0,
Count2,9.0,0.0,6.0,
Listen,3.0,0.0,3.0,
Count3,3.0,0.0,6.0,
