分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,1329.0,0.0,1359.0,
HC,1380.0,3.0,1440.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,443.0,0.0,453.0,
HC_oxy,460.0,1.0,480.0,
PTSD_dxy,443.0,0.0,453.0,
HC_dxy,460.0,1.0,480.0,
PTSD_total,443.0,0.0,453.0,
HC_total,460.0,1.0,480.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,27.0,0.0,27.0,
HC_1,30.0,0.0,30.0,
PTSD_2,27.0,0.0,27.0,
HC_2,27.0,0.0,27.0,
PTSD_3,30.0,0.0,30.0,
HC_3,33.0,0.0,33.0,
PTSD_4,33.0,0.0,33.0,
HC_4,33.0,0.0,36.0,
PTSD_5,30.0,0.0,27.0,
HC_5,33.0,0.0,33.0,
PTSD_6,27.0,0.0,27.0,
HC_6,27.0,0.0,27.0,
PTSD_7,30.0,0.0,27.0,
HC_7,27.0,0.0,27.0,
PTSD_8,27.0,0.0,27.0,
HC_8,27.0,0.0,27.0,
PTSD_9,27.0,0.0,27.0,
HC_9,27.0,0.0,27.0,
PTSD_10,27.0,0.0,27.0,
HC_10,24.0,0.0,27.0,
PTSD_11,30.0,0.0,27.0,
HC_11,30.0,0.0,30.0,
PTSD_12,30.0,0.0,30.0,
HC_12,33.0,0.0,33.0,
PTSD_13,30.0,0.0,30.0,
HC_13,33.0,0.0,33.0,
PTSD_14,33.0,0.0,30.0,
HC_14,33.0,0.0,33.0,
PTSD_15,30.0,0.0,27.0,
HC_15,39.0,0.0,36.0,
PTSD_16,27.0,0.0,27.0,
HC_16,33.0,0.0,36.0,
PTSD_17,27.0,0.0,27.0,
HC_17,33.0,0.0,33.0,
PTSD_18,27.0,0.0,27.0,
HC_18,30.0,0.0,30.0,
PTSD_19,27.0,0.0,27.0,
HC_19,33.0,0.0,33.0,
PTSD_20,24.0,0.0,27.0,
HC_20,33.0,0.0,30.0,
PTSD_21,27.0,0.0,27.0,
HC_21,30.0,0.0,33.0,
PTSD_22,27.0,0.0,27.0,
HC_22,27.0,0.0,27.0,
PTSD_23,30.0,0.0,27.0,
HC_23,24.0,0.0,27.0,
PTSD_24,33.0,0.0,30.0,
HC_24,27.0,0.0,27.0,
PTSD_25,27.0,0.0,27.0,
HC_25,27.0,0.0,27.0,
PTSD_26,27.0,0.0,27.0,
HC_26,21.0,0.0,27.0,
PTSD_27,27.0,0.0,27.0,
HC_27,30.0,0.0,27.0,
PTSD_28,24.0,0.0,27.0,
HC_28,27.0,0.0,27.0,
PTSD_29,27.0,0.0,27.0,
HC_29,27.0,0.0,27.0,
PTSD_30,30.0,0.0,33.0,
HC_30,27.0,0.0,27.0,
PTSD_31,27.0,0.0,30.0,
HC_31,27.0,0.0,27.0,
PTSD_32,27.0,0.0,27.0,
HC_32,21.0,0.0,24.0,
PTSD_33,27.0,0.0,27.0,
HC_33,33.0,3.0,39.0,
PTSD_34,27.0,0.0,27.0,
HC_34,30.0,0.0,33.0,
PTSD_35,27.0,0.0,27.0,
HC_35,30.0,0.0,30.0,
PTSD_36,27.0,0.0,27.0,
HC_36,24.0,0.0,30.0,
PTSD_37,30.0,0.0,30.0,
HC_37,27.0,0.0,33.0,
PTSD_38,27.0,0.0,36.0,
HC_38,33.0,0.0,33.0,
PTSD_39,27.0,0.0,30.0,
HC_39,27.0,0.0,27.0,
PTSD_40,27.0,0.0,27.0,
HC_40,18.0,0.0,27.0,
PTSD_41,27.0,0.0,27.0,
HC_41,27.0,0.0,27.0,
PTSD_42,27.0,0.0,30.0,
HC_42,27.0,0.0,30.0,
PTSD_43,27.0,0.0,27.0,
HC_43,27.0,0.0,27.0,
PTSD_44,21.0,0.0,33.0,
HC_44,27.0,0.0,27.0,
PTSD_45,30.0,0.0,30.0,
HC_45,30.0,0.0,30.0,
PTSD_46,24.0,0.0,27.0,
HC_46,30.0,0.0,33.0,
PTSD_47,27.0,0.0,27.0,
