分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,468.0,0.0,495.0,
HC,561.0,6.0,561.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,156.0,0.0,165.0,
HC_oxy,187.0,2.0,187.0,
PTSD_dxy,156.0,0.0,165.0,
HC_dxy,187.0,2.0,187.0,
PTSD_total,156.0,0.0,165.0,
HC_total,187.0,2.0,187.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,27.0,0.0,27.0,
HC_21,36.0,3.0,36.0,
PTSD_22,27.0,0.0,27.0,
HC_22,39.0,0.0,39.0,
PTSD_38,30.0,0.0,33.0,
HC_38,33.0,0.0,33.0,
PTSD_48,27.0,0.0,27.0,
HC_48,33.0,3.0,33.0,
PTSD_45,27.0,0.0,30.0,
HC_45,36.0,0.0,33.0,
PTSD_46,27.0,0.0,30.0,
HC_46,33.0,0.0,30.0,
PTSD_47,27.0,0.0,27.0,
HC_47,33.0,0.0,36.0,
PTSD_44,27.0,0.0,30.0,
HC_44,33.0,0.0,33.0,
PTSD_10,27.0,0.0,27.0,
HC_10,30.0,0.0,27.0,
PTSD_11,27.0,0.0,27.0,
HC_11,27.0,0.0,27.0,
PTSD_20,27.0,0.0,27.0,
HC_20,39.0,0.0,36.0,
PTSD_6,30.0,0.0,33.0,
HC_6,36.0,0.0,33.0,
PTSD_43,27.0,0.0,27.0,
HC_43,39.0,0.0,39.0,
PTSD_4,33.0,0.0,33.0,
HC_4,30.0,0.0,33.0,
PTSD_2,27.0,0.0,27.0,
HC_2,24.0,0.0,30.0,
PTSD_9,27.0,0.0,30.0,
HC_9,30.0,0.0,30.0,
PTSD_3,24.0,0.0,33.0,
HC_3,30.0,0.0,33.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,168.0,0.0,183.0,
HC_Resting,219.0,3.0,222.0,
PTSD_Count1,150.0,0.0,153.0,
HC_Count1,174.0,3.0,171.0,
PTSD_Speak,159.0,0.0,168.0,
HC_Speak,189.0,0.0,189.0,
PTSD_Count2,150.0,0.0,156.0,
HC_Count2,189.0,0.0,186.0,
PTSD_Listen,156.0,0.0,174.0,
HC_Listen,177.0,6.0,186.0,
PTSD_Count3,153.0,0.0,156.0,
HC_Count3,174.0,0.0,168.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,24.0,0.0,27.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,8.0,0.0,9.0,
dxy,8.0,0.0,9.0,
total,8.0,0.0,9.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,0.0,0.0,0.0,
22,3.0,0.0,3.0,
38,0.0,0.0,3.0,
48,3.0,0.0,3.0,
45,0.0,0.0,3.0,
46,0.0,0.0,0.0,
47,3.0,0.0,3.0,
44,0.0,0.0,0.0,
10,0.0,0.0,0.0,
11,0.0,0.0,0.0,
20,3.0,0.0,3.0,
6,0.0,0.0,3.0,
43,0.0,0.0,0.0,
4,3.0,0.0,0.0,
2,0.0,0.0,0.0,
9,3.0,0.0,3.0,
3,6.0,0.0,3.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,0.0,0.0,0.0,
Count1,0.0,0.0,0.0,
Speak,6.0,0.0,6.0,
Count2,12.0,0.0,15.0,
Listen,3.0,0.0,0.0,
Count3,3.0,0.0,6.0,
