分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,152.0,38.0,214.0,
HC,548.0,93.0,607.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,73.0,28.0,83.0,
HC_oxy,251.0,46.0,261.0,
PTSD_dxy,44.0,9.0,72.0,
HC_dxy,197.0,47.0,230.0,
PTSD_total,35.0,1.0,59.0,
HC_total,100.0,0.0,116.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,4.0,0.0,4.0,
HC_1,18.0,13.0,17.0,
PTSD_2,0.0,0.0,3.0,
HC_2,6.0,1.0,9.0,
PTSD_3,13.0,0.0,18.0,
HC_3,26.0,16.0,25.0,
PTSD_4,13.0,6.0,13.0,
HC_4,25.0,10.0,39.0,
PTSD_5,14.0,5.0,13.0,
HC_5,25.0,0.0,27.0,
PTSD_6,0.0,0.0,0.0,
HC_6,12.0,1.0,15.0,
PTSD_7,0.0,0.0,0.0,
HC_7,14.0,1.0,19.0,
PTSD_8,0.0,0.0,1.0,
HC_8,3.0,1.0,3.0,
PTSD_9,5.0,0.0,4.0,
HC_9,19.0,0.0,24.0,
PTSD_10,2.0,0.0,2.0,
HC_10,14.0,0.0,18.0,
PTSD_11,3.0,0.0,4.0,
HC_11,17.0,0.0,17.0,
PTSD_12,12.0,6.0,12.0,
HC_12,26.0,4.0,29.0,
PTSD_13,6.0,0.0,6.0,
HC_13,23.0,5.0,26.0,
PTSD_14,5.0,5.0,5.0,
HC_14,20.0,2.0,23.0,
PTSD_15,3.0,1.0,3.0,
HC_15,33.0,0.0,31.0,
PTSD_16,1.0,0.0,3.0,
HC_16,19.0,0.0,29.0,
PTSD_17,6.0,4.0,14.0,
HC_17,14.0,2.0,12.0,
PTSD_18,10.0,1.0,11.0,
HC_18,5.0,4.0,5.0,
PTSD_19,0.0,0.0,0.0,
HC_19,16.0,4.0,10.0,
PTSD_20,0.0,0.0,0.0,
HC_20,3.0,0.0,4.0,
PTSD_21,0.0,0.0,0.0,
HC_21,20.0,1.0,23.0,
PTSD_22,1.0,1.0,1.0,
HC_22,9.0,2.0,10.0,
PTSD_23,0.0,0.0,0.0,
HC_23,5.0,0.0,2.0,
PTSD_24,4.0,0.0,3.0,
HC_24,0.0,0.0,0.0,
PTSD_25,5.0,0.0,4.0,
HC_25,8.0,2.0,10.0,
PTSD_26,0.0,0.0,1.0,
HC_26,3.0,2.0,2.0,
PTSD_27,4.0,0.0,4.0,
HC_27,2.0,2.0,4.0,
PTSD_28,2.0,0.0,3.0,
HC_28,5.0,0.0,2.0,
PTSD_29,2.0,1.0,6.0,
HC_29,3.0,1.0,9.0,
PTSD_30,3.0,0.0,0.0,
HC_30,8.0,0.0,4.0,
PTSD_31,0.0,0.0,3.0,
HC_31,24.0,0.0,21.0,
PTSD_32,4.0,0.0,10.0,
HC_32,7.0,0.0,6.0,
PTSD_33,14.0,8.0,12.0,
HC_33,28.0,10.0,26.0,
PTSD_34,1.0,0.0,3.0,
HC_34,12.0,0.0,19.0,
PTSD_35,0.0,0.0,7.0,
HC_35,19.0,0.0,19.0,
PTSD_36,1.0,0.0,1.0,
HC_36,9.0,0.0,11.0,
PTSD_37,0.0,0.0,0.0,
HC_37,9.0,4.0,12.0,
PTSD_38,0.0,0.0,12.0,
HC_38,3.0,0.0,3.0,
PTSD_39,0.0,0.0,1.0,
HC_39,4.0,0.0,6.0,
PTSD_40,0.0,0.0,0.0,
HC_40,0.0,0.0,0.0,
PTSD_41,1.0,0.0,2.0,
HC_41,0.0,0.0,0.0,
PTSD_42,0.0,0.0,0.0,
HC_42,0.0,0.0,0.0,
PTSD_43,7.0,0.0,9.0,
HC_43,0.0,0.0,0.0,
PTSD_44,3.0,0.0,7.0,
HC_44,6.0,0.0,6.0,
PTSD_45,0.0,0.0,1.0,
HC_45,0.0,0.0,0.0,
PTSD_46,0.0,0.0,1.0,
HC_46,10.0,0.0,13.0,
PTSD_47,0.0,0.0,2.0,
HC_47,10.0,5.0,9.0,
PTSD_48,3.0,0.0,5.0,
HC_48,6.0,0.0,8.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Pre-Motor and Supplementary Motor Cortex,3.0,0.0,17.0,
HC_Pre-Motor and Supplementary Motor Cortex,25.0,4.0,21.0,
PTSD_Dorsolateral prefrontal cortex,3.0,0.0,7.0,
HC_Dorsolateral prefrontal cortex,6.0,0.0,6.0,
PTSD_Frontopolar area,11.0,0.0,13.0,
HC_Frontopolar area,21.0,7.0,21.0,
PTSD_Orbitofrontal area,8.0,0.0,8.0,
HC_Orbitofrontal area,50.0,1.0,60.0,
PTSD_Middle Temporal gyrus,28.0,9.0,31.0,
HC_Middle Temporal gyrus,127.0,29.0,138.0,
PTSD_Superior Temporal Gyrus,10.0,1.0,18.0,
HC_Superior Temporal Gyrus,24.0,4.0,24.0,
PTSD_Temporopolar area,30.0,11.0,35.0,
HC_Temporopolar area,72.0,22.0,77.0,
PTSD_Subcentral area,1.0,0.0,1.0,
HC_Subcentral area,12.0,0.0,15.0,
PTSD_pars opercularis_ part of Broca's area,0.0,0.0,3.0,
HC_pars opercularis_ part of Broca's area,20.0,5.0,22.0,
PTSD_pars triangularis Broca's area,23.0,6.0,31.0,
HC_pars triangularis Broca's area,78.0,6.0,82.0,
PTSD_Dorsolateral prefrontal cortex2,15.0,1.0,20.0,
HC_Dorsolateral prefrontal cortex2,50.0,2.0,56.0,
PTSD_Inferior prefrontal gyrus,13.0,6.0,13.0,
HC_Inferior prefrontal gyrus,37.0,11.0,54.0,
PTSD_Retrosubicular area,7.0,4.0,17.0,
HC_Retrosubicular area,26.0,2.0,31.0,
任务间不同beta显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_beta0,87.0,23.0,111.0,
HC_beta0,228.0,40.0,245.0,
PTSD_beta1,54.0,13.0,83.0,
HC_beta1,228.0,48.0,263.0,
PTSD_beta2,41.0,14.0,74.0,
HC_beta2,213.0,31.0,232.0,
PTSD_beta3,24.0,7.0,34.0,
HC_beta3,89.0,12.0,92.0,
PTSD_beta4,50.0,2.0,58.0,
HC_beta4,109.0,14.0,124.0,
PTSD_beta5,30.0,10.0,46.0,
HC_beta5,99.0,21.0,103.0,
PTSD_beta6,18.0,7.0,22.0,
HC_beta6,130.0,20.0,155.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,52.0,1.0,32.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,11.0,1.0,5.0,
dxy,5.0,0.0,3.0,
total,36.0,0.0,24.0,
组间不同通道显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
1,1.0,0.0,0.0,
2,0.0,0.0,0.0,
3,1.0,0.0,2.0,
4,0.0,0.0,0.0,
5,7.0,0.0,3.0,
6,0.0,0.0,0.0,
7,1.0,0.0,1.0,
8,0.0,0.0,0.0,
9,2.0,0.0,0.0,
10,0.0,0.0,0.0,
11,0.0,0.0,0.0,
12,0.0,0.0,0.0,
13,0.0,0.0,0.0,
14,0.0,0.0,0.0,
15,0.0,0.0,0.0,
16,0.0,0.0,1.0,
17,0.0,0.0,0.0,
18,0.0,0.0,0.0,
19,0.0,0.0,0.0,
20,0.0,0.0,0.0,
21,0.0,0.0,0.0,
22,0.0,0.0,1.0,
23,0.0,0.0,0.0,
24,3.0,0.0,1.0,
25,7.0,1.0,3.0,
26,1.0,0.0,1.0,
27,0.0,0.0,0.0,
28,7.0,0.0,1.0,
29,0.0,0.0,0.0,
30,0.0,0.0,0.0,
31,12.0,0.0,8.0,
32,7.0,0.0,7.0,
33,0.0,0.0,0.0,
34,0.0,0.0,1.0,
35,0.0,0.0,0.0,
36,0.0,0.0,0.0,
37,0.0,0.0,0.0,
38,0.0,0.0,0.0,
39,0.0,0.0,0.0,
40,0.0,0.0,0.0,
41,2.0,0.0,0.0,
42,0.0,0.0,0.0,
43,0.0,0.0,0.0,
44,0.0,0.0,0.0,
45,0.0,0.0,0.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
48,1.0,0.0,2.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Pre-Motor and Supplementary Motor Cortex,1.0,0.0,2.0,
Dorsolateral prefrontal cortex,0.0,0.0,0.0,
Frontopolar area,15.0,1.0,5.0,
Orbitofrontal area,3.0,0.0,1.0,
Middle Temporal gyrus,1.0,0.0,1.0,
Superior Temporal Gyrus,0.0,0.0,0.0,
Temporopolar area,1.0,0.0,2.0,
Subcentral area,0.0,0.0,0.0,
pars opercularis_ part of Broca's area,0.0,0.0,0.0,
pars triangularis Broca's area,29.0,0.0,20.0,
Dorsolateral prefrontal cortex2,2.0,0.0,0.0,
Inferior prefrontal gyrus,0.0,0.0,0.0,
Retrosubicular area,0.0,0.0,1.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
