分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,70.0,12.0,102.0,
HC,308.0,54.0,317.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,34.0,5.0,57.0,
HC_oxy,152.0,14.0,143.0,
PTSD_dxy,17.0,1.0,31.0,
HC_dxy,109.0,40.0,106.0,
PTSD_total,19.0,6.0,14.0,
HC_total,47.0,0.0,68.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,11.0,0.0,9.0,
HC_21,33.0,3.0,31.0,
PTSD_22,8.0,0.0,13.0,
HC_22,28.0,0.0,29.0,
PTSD_38,16.0,0.0,13.0,
HC_38,26.0,14.0,29.0,
PTSD_48,6.0,4.0,12.0,
HC_48,20.0,6.0,24.0,
PTSD_45,0.0,0.0,3.0,
HC_45,26.0,10.0,24.0,
PTSD_46,1.0,0.0,0.0,
HC_46,16.0,1.0,13.0,
PTSD_47,7.0,7.0,9.0,
HC_47,27.0,6.0,34.0,
PTSD_44,0.0,0.0,6.0,
HC_44,17.0,4.0,16.0,
PTSD_10,1.0,0.0,3.0,
HC_10,8.0,6.0,9.0,
PTSD_11,0.0,0.0,2.0,
HC_11,20.0,0.0,21.0,
PTSD_20,2.0,1.0,3.0,
HC_20,32.0,0.0,30.0,
PTSD_6,1.0,0.0,4.0,
HC_6,14.0,1.0,15.0,
PTSD_43,8.0,0.0,12.0,
HC_43,16.0,2.0,14.0,
PTSD_4,5.0,0.0,6.0,
HC_4,10.0,1.0,9.0,
PTSD_2,1.0,0.0,1.0,
HC_2,9.0,0.0,11.0,
PTSD_9,0.0,0.0,1.0,
HC_9,0.0,0.0,0.0,
PTSD_3,3.0,0.0,5.0,
HC_3,6.0,0.0,8.0,
任务间不同beta显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_beta0,38.0,11.0,55.0,
HC_beta0,132.0,22.0,135.0,
PTSD_beta1,18.0,3.0,31.0,
HC_beta1,125.0,27.0,126.0,
PTSD_beta2,33.0,1.0,47.0,
HC_beta2,126.0,20.0,128.0,
PTSD_beta3,11.0,3.0,14.0,
HC_beta3,53.0,10.0,53.0,
PTSD_beta4,17.0,1.0,25.0,
HC_beta4,54.0,9.0,56.0,
PTSD_beta5,11.0,3.0,18.0,
HC_beta5,55.0,11.0,62.0,
PTSD_beta6,12.0,2.0,14.0,
HC_beta6,71.0,9.0,74.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,9.0,0.0,11.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,2.0,0.0,2.0,
dxy,0.0,0.0,2.0,
total,7.0,0.0,7.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,0.0,0.0,0.0,
22,0.0,0.0,0.0,
38,0.0,0.0,2.0,
48,0.0,0.0,0.0,
45,1.0,0.0,1.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
44,1.0,0.0,1.0,
10,3.0,0.0,1.0,
11,1.0,0.0,1.0,
20,0.0,0.0,0.0,
6,1.0,0.0,1.0,
43,0.0,0.0,0.0,
4,1.0,0.0,2.0,
2,0.0,0.0,0.0,
9,0.0,0.0,0.0,
3,1.0,0.0,2.0,
组间不同beta显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
beta0,1.0,0.0,0.0,
beta1,1.0,0.0,1.0,
beta2,0.0,0.0,0.0,
beta3,0.0,0.0,1.0,
beta4,7.0,0.0,9.0,
beta5,0.0,0.0,0.0,
beta6,0.0,0.0,0.0,
