分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,445.0,4.0,487.0,
HC,522.0,2.0,532.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,153.0,4.0,166.0,
HC_oxy,179.0,2.0,179.0,
PTSD_dxy,151.0,0.0,163.0,
HC_dxy,171.0,0.0,175.0,
PTSD_total,141.0,0.0,158.0,
HC_total,172.0,0.0,178.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,24.0,0.0,26.0,
HC_21,30.0,0.0,28.0,
PTSD_22,31.0,0.0,28.0,
HC_22,32.0,0.0,32.0,
PTSD_38,20.0,0.0,22.0,
HC_38,27.0,0.0,27.0,
PTSD_48,26.0,0.0,25.0,
HC_48,29.0,0.0,30.0,
PTSD_45,32.0,1.0,31.0,
HC_45,33.0,0.0,35.0,
PTSD_46,29.0,3.0,31.0,
HC_46,36.0,0.0,36.0,
PTSD_47,25.0,0.0,27.0,
HC_47,25.0,0.0,30.0,
PTSD_44,22.0,0.0,29.0,
HC_44,33.0,0.0,35.0,
PTSD_10,32.0,0.0,33.0,
HC_10,36.0,1.0,35.0,
PTSD_11,30.0,0.0,34.0,
HC_11,31.0,0.0,34.0,
PTSD_20,25.0,0.0,27.0,
HC_20,33.0,0.0,30.0,
PTSD_6,22.0,0.0,31.0,
HC_6,32.0,0.0,31.0,
PTSD_43,29.0,0.0,28.0,
HC_43,30.0,0.0,27.0,
PTSD_4,23.0,0.0,28.0,
HC_4,28.0,0.0,30.0,
PTSD_2,28.0,0.0,28.0,
HC_2,27.0,0.0,28.0,
PTSD_9,29.0,0.0,30.0,
HC_9,32.0,1.0,32.0,
PTSD_3,18.0,0.0,29.0,
HC_3,28.0,0.0,32.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,246.0,3.0,255.0,
HC_Resting,255.0,2.0,255.0,
PTSD_Count1,151.0,2.0,157.0,
HC_Count1,228.0,0.0,234.0,
PTSD_Speak,101.0,0.0,104.0,
HC_Speak,142.0,0.0,139.0,
PTSD_Count2,108.0,0.0,117.0,
HC_Count2,114.0,0.0,121.0,
PTSD_Listen,166.0,3.0,205.0,
HC_Listen,190.0,2.0,193.0,
PTSD_Count3,118.0,0.0,136.0,
HC_Count3,115.0,0.0,122.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,37.0,0.0,19.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,10.0,0.0,5.0,
dxy,15.0,0.0,10.0,
total,12.0,0.0,4.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,3.0,0.0,3.0,
22,3.0,0.0,0.0,
38,4.0,0.0,2.0,
48,2.0,0.0,0.0,
45,4.0,0.0,3.0,
46,1.0,0.0,0.0,
47,4.0,0.0,3.0,
44,5.0,0.0,2.0,
10,0.0,0.0,1.0,
11,1.0,0.0,1.0,
20,0.0,0.0,0.0,
6,3.0,0.0,2.0,
43,1.0,0.0,1.0,
4,3.0,0.0,1.0,
2,0.0,0.0,0.0,
9,0.0,0.0,0.0,
3,3.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,1.0,0.0,0.0,
Count1,0.0,0.0,0.0,
Speak,1.0,0.0,2.0,
Count2,31.0,0.0,15.0,
Listen,0.0,0.0,0.0,
Count3,4.0,0.0,2.0,
