分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,1428.0,1008.0,1425.0,
HC,1365.0,579.0,1374.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,476.0,336.0,475.0,
HC_oxy,455.0,193.0,458.0,
PTSD_dxy,476.0,336.0,475.0,
HC_dxy,455.0,193.0,458.0,
PTSD_total,476.0,336.0,475.0,
HC_total,455.0,193.0,458.0,
任务间不同通道显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_1,27.0,6.0,27.0,
HC_1,27.0,0.0,30.0,
PTSD_2,27.0,27.0,27.0,
HC_2,30.0,6.0,30.0,
PTSD_3,30.0,30.0,30.0,
HC_3,27.0,0.0,27.0,
PTSD_4,30.0,12.0,30.0,
HC_4,27.0,0.0,27.0,
PTSD_5,30.0,3.0,30.0,
HC_5,27.0,18.0,27.0,
PTSD_6,30.0,21.0,30.0,
HC_6,27.0,9.0,27.0,
PTSD_7,27.0,18.0,27.0,
HC_7,27.0,18.0,27.0,
PTSD_8,33.0,33.0,33.0,
HC_8,27.0,18.0,27.0,
PTSD_9,27.0,18.0,27.0,
HC_9,27.0,0.0,27.0,
PTSD_10,27.0,18.0,30.0,
HC_10,27.0,0.0,30.0,
PTSD_11,33.0,33.0,33.0,
HC_11,27.0,9.0,27.0,
PTSD_12,30.0,3.0,30.0,
HC_12,27.0,9.0,27.0,
PTSD_13,27.0,9.0,27.0,
HC_13,27.0,0.0,27.0,
PTSD_14,27.0,0.0,27.0,
HC_14,27.0,6.0,27.0,
PTSD_15,30.0,12.0,30.0,
HC_15,30.0,21.0,30.0,
PTSD_16,33.0,33.0,33.0,
HC_16,33.0,6.0,33.0,
PTSD_17,33.0,15.0,33.0,
HC_17,27.0,6.0,27.0,
PTSD_18,30.0,30.0,33.0,
HC_18,27.0,18.0,27.0,
PTSD_19,30.0,12.0,30.0,
HC_19,27.0,9.0,27.0,
PTSD_20,27.0,9.0,30.0,
HC_20,27.0,9.0,27.0,
PTSD_21,27.0,27.0,27.0,
HC_21,27.0,9.0,27.0,
PTSD_22,30.0,21.0,30.0,
HC_22,27.0,12.0,27.0,
PTSD_23,36.0,24.0,36.0,
HC_23,36.0,36.0,33.0,
PTSD_24,30.0,21.0,30.0,
HC_24,33.0,21.0,33.0,
PTSD_25,27.0,27.0,27.0,
HC_25,27.0,0.0,27.0,
PTSD_26,33.0,33.0,33.0,
HC_26,30.0,21.0,30.0,
PTSD_27,27.0,18.0,27.0,
HC_27,30.0,6.0,33.0,
PTSD_28,27.0,27.0,27.0,
HC_28,33.0,6.0,33.0,
