分ROI结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PSTD,522.0,411.0,519.0,
HC,507.0,225.0,507.0,
任务间不同血红蛋白显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_oxy,174.0,137.0,173.0,
HC_oxy,169.0,75.0,169.0,
PTSD_dxy,174.0,137.0,173.0,
HC_dxy,169.0,75.0,169.0,
PTSD_total,174.0,137.0,173.0,
HC_total,169.0,75.0,169.0,
任务间不同ROI显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_21,30.0,30.0,30.0,
HC_21,33.0,21.0,33.0,
PTSD_22,30.0,30.0,30.0,
HC_22,33.0,21.0,33.0,
PTSD_38,33.0,33.0,33.0,
HC_38,27.0,9.0,27.0,
PTSD_48,33.0,12.0,33.0,
HC_48,30.0,9.0,30.0,
PTSD_45,30.0,30.0,33.0,
HC_45,30.0,21.0,30.0,
PTSD_46,39.0,39.0,36.0,
HC_46,30.0,9.0,30.0,
PTSD_47,30.0,3.0,30.0,
HC_47,27.0,0.0,27.0,
PTSD_44,27.0,18.0,27.0,
HC_44,27.0,18.0,27.0,
PTSD_10,36.0,24.0,33.0,
HC_10,30.0,9.0,30.0,
PTSD_11,30.0,30.0,30.0,
HC_11,30.0,0.0,30.0,
PTSD_20,33.0,18.0,33.0,
HC_20,33.0,21.0,33.0,
PTSD_6,33.0,21.0,33.0,
HC_6,30.0,21.0,27.0,
PTSD_43,30.0,30.0,30.0,
HC_43,33.0,21.0,33.0,
PTSD_4,27.0,12.0,27.0,
HC_4,27.0,9.0,30.0,
PTSD_2,27.0,27.0,27.0,
HC_2,33.0,9.0,33.0,
PTSD_9,27.0,27.0,27.0,
HC_9,27.0,18.0,27.0,
PTSD_3,27.0,27.0,27.0,
HC_3,27.0,9.0,27.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,186.0,150.0,186.0,
HC_Resting,153.0,69.0,153.0,
PTSD_Count1,162.0,126.0,162.0,
HC_Count1,171.0,9.0,171.0,
PTSD_Speak,186.0,144.0,186.0,
HC_Speak,153.0,69.0,153.0,
PTSD_Count2,177.0,147.0,174.0,
HC_Count2,201.0,108.0,201.0,
PTSD_Listen,159.0,129.0,159.0,
HC_Listen,153.0,69.0,153.0,
PTSD_Count3,174.0,126.0,171.0,
HC_Count3,183.0,126.0,183.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,6.0,3.0,6.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,2.0,1.0,2.0,
dxy,2.0,1.0,2.0,
total,2.0,1.0,2.0,
组间不同ROI显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
21,0.0,0.0,0.0,
22,0.0,0.0,0.0,
38,0.0,0.0,0.0,
48,0.0,0.0,0.0,
45,0.0,0.0,0.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
44,0.0,0.0,0.0,
10,0.0,0.0,0.0,
11,0.0,0.0,0.0,
20,3.0,3.0,3.0,
6,0.0,0.0,0.0,
43,0.0,0.0,0.0,
4,0.0,0.0,0.0,
2,3.0,0.0,3.0,
9,0.0,0.0,0.0,
3,0.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,0.0,0.0,0.0,
Count1,0.0,0.0,0.0,
Speak,0.0,0.0,0.0,
Count2,3.0,0.0,3.0,
Listen,3.0,3.0,3.0,
Count3,0.0,0.0,0.0,
