组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,1239.0,884.0,1262.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,386.0,282.0,411.0,
dxy,356.0,257.0,352.0,
total,497.0,345.0,499.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
1,2.0,2.0,2.0,
2,2.0,2.0,2.0,
3,0.0,0.0,0.0,
4,2.0,2.0,2.0,
5,2.0,2.0,2.0,
6,6.0,5.0,6.0,
7,0.0,0.0,0.0,
8,0.0,0.0,0.0,
9,3.0,3.0,2.0,
10,0.0,0.0,1.0,
11,0.0,0.0,1.0,
12,4.0,2.0,4.0,
13,0.0,0.0,0.0,
14,0.0,0.0,0.0,
15,1.0,1.0,0.0,
16,0.0,0.0,0.0,
17,0.0,0.0,0.0,
18,0.0,0.0,1.0,
19,1.0,1.0,1.0,
20,1.0,1.0,1.0,
21,0.0,0.0,0.0,
22,1.0,1.0,0.0,
23,1.0,1.0,0.0,
24,1.0,1.0,2.0,
25,1.0,1.0,2.0,
26,1.0,1.0,2.0,
27,0.0,0.0,0.0,
28,1.0,0.0,1.0,
29,1.0,0.0,1.0,
30,0.0,0.0,0.0,
31,0.0,0.0,0.0,
32,0.0,0.0,0.0,
33,0.0,0.0,0.0,
34,0.0,0.0,0.0,
35,0.0,0.0,0.0,
36,1.0,0.0,2.0,
37,1.0,0.0,1.0,
38,1.0,0.0,1.0,
39,1.0,1.0,1.0,
40,1.0,0.0,1.0,
41,1.0,0.0,1.0,
42,0.0,0.0,0.0,
43,0.0,0.0,0.0,
44,0.0,0.0,0.0,
45,2.0,2.0,1.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
48,0.0,0.0,0.0,
49,0.0,0.0,1.0,
50,0.0,0.0,1.0,
51,3.0,0.0,2.0,
52,2.0,2.0,1.0,
53,2.0,2.0,1.0,
54,1.0,1.0,2.0,
55,2.0,2.0,2.0,
56,2.0,2.0,2.0,
57,2.0,2.0,3.0,
58,0.0,0.0,0.0,
59,0.0,0.0,0.0,
60,0.0,0.0,0.0,
61,1.0,1.0,0.0,
62,1.0,1.0,0.0,
63,1.0,1.0,1.0,
64,2.0,2.0,2.0,
65,2.0,2.0,2.0,
