组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,176.0,127.0,164.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,57.0,34.0,61.0,
dxy,67.0,54.0,61.0,
total,52.0,39.0,42.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
1,2.0,2.0,2.0,
2,1.0,1.0,1.0,
3,3.0,1.0,1.0,
4,5.0,5.0,5.0,
5,1.0,1.0,1.0,
6,1.0,1.0,1.0,
7,0.0,0.0,1.0,
8,0.0,0.0,1.0,
9,1.0,1.0,1.0,
10,1.0,1.0,2.0,
11,0.0,0.0,0.0,
12,2.0,1.0,0.0,
13,3.0,1.0,2.0,
14,3.0,2.0,2.0,
15,0.0,0.0,0.0,
16,0.0,0.0,0.0,
17,0.0,0.0,0.0,
18,0.0,0.0,0.0,
19,1.0,0.0,1.0,
20,1.0,1.0,1.0,
21,2.0,2.0,2.0,
22,3.0,2.0,2.0,
23,2.0,1.0,1.0,
24,3.0,3.0,4.0,
25,2.0,2.0,2.0,
26,0.0,0.0,1.0,
27,3.0,3.0,1.0,
28,1.0,0.0,1.0,
29,0.0,0.0,0.0,
30,1.0,1.0,2.0,
31,4.0,4.0,3.0,
32,1.0,0.0,1.0,
33,1.0,0.0,0.0,
34,1.0,1.0,1.0,
35,0.0,0.0,0.0,
36,2.0,0.0,1.0,
37,2.0,1.0,2.0,
38,1.0,1.0,1.0,
39,0.0,0.0,1.0,
40,2.0,1.0,1.0,
41,1.0,1.0,1.0,
42,0.0,0.0,0.0,
43,0.0,0.0,0.0,
44,1.0,0.0,1.0,
45,0.0,0.0,0.0,
46,1.0,0.0,2.0,
47,5.0,3.0,5.0,
48,1.0,0.0,0.0,
49,8.0,7.0,8.0,
50,3.0,3.0,3.0,
51,1.0,1.0,1.0,
52,4.0,3.0,2.0,
53,0.0,0.0,1.0,
54,1.0,1.0,1.0,
55,0.0,0.0,0.0,
56,2.0,2.0,1.0,
57,2.0,2.0,0.0,
58,0.0,0.0,0.0,
59,3.0,2.0,4.0,
60,1.0,1.0,2.0,
61,0.0,0.0,1.0,
62,1.0,1.0,1.0,
63,0.0,0.0,0.0,
64,0.0,0.0,1.0,
65,2.0,1.0,1.0,
66,0.0,0.0,0.0,
67,1.0,0.0,0.0,
68,1.0,0.0,1.0,
69,1.0,1.0,0.0,
70,2.0,2.0,2.0,
71,4.0,3.0,3.0,
72,2.0,2.0,1.0,
73,1.0,1.0,1.0,
74,0.0,0.0,0.0,
75,0.0,0.0,0.0,
76,0.0,0.0,1.0,
77,0.0,0.0,0.0,
78,0.0,0.0,0.0,
79,0.0,0.0,0.0,
80,0.0,0.0,0.0,
81,0.0,0.0,0.0,
82,1.0,1.0,1.0,
83,6.0,5.0,5.0,
84,1.0,1.0,0.0,
85,0.0,0.0,1.0,
86,0.0,0.0,0.0,
87,1.0,0.0,0.0,
88,2.0,0.0,0.0,
89,2.0,1.0,2.0,
90,2.0,2.0,1.0,
91,1.0,0.0,1.0,
92,1.0,1.0,1.0,
93,2.0,2.0,1.0,
94,0.0,0.0,1.0,
95,1.0,0.0,1.0,
96,3.0,3.0,3.0,
97,3.0,2.0,2.0,
98,0.0,0.0,0.0,
99,0.0,0.0,0.0,
100,0.0,0.0,0.0,
101,2.0,1.0,1.0,
102,3.0,3.0,3.0,
103,2.0,2.0,2.0,
104,2.0,2.0,2.0,
105,0.0,0.0,0.0,
106,0.0,0.0,1.0,
107,2.0,2.0,1.0,
108,2.0,2.0,2.0,
109,0.0,0.0,0.0,
110,0.0,0.0,0.0,
111,0.0,0.0,0.0,
112,0.0,0.0,0.0,
113,0.0,0.0,0.0,
114,0.0,0.0,0.0,
115,2.0,1.0,4.0,
116,0.0,0.0,0.0,
117,0.0,0.0,0.0,
118,2.0,1.0,1.0,
119,2.0,1.0,2.0,
120,0.0,0.0,0.0,
121,3.0,2.0,3.0,
122,2.0,1.0,2.0,
123,0.0,0.0,1.0,
124,3.0,1.0,5.0,
125,3.0,1.0,2.0,
126,3.0,1.0,3.0,
127,1.0,1.0,4.0,
128,1.0,1.0,1.0,
129,0.0,0.0,0.0,
130,0.0,0.0,0.0,
131,0.0,0.0,0.0,
132,0.0,0.0,1.0,
133,3.0,3.0,3.0,
134,4.0,4.0,3.0,
135,1.0,1.0,1.0,
136,2.0,1.0,2.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,41.0,11.0,24.0,
Count1,15.0,14.0,12.0,
Speak,19.0,17.0,16.0,
Count2,22.0,21.0,22.0,
Listen,28.0,25.0,31.0,
Count3,51.0,39.0,59.0,
