connection,ch1,ch2
0,1,2
1,1,3
2,1,4
3,1,5
4,1,6
5,1,7
6,1,8
7,1,9
8,1,10
9,1,11
10,1,12
11,1,13
12,1,14
13,1,15
14,1,16
15,1,17
16,1,18
17,1,19
18,1,20
19,1,21
20,1,22
21,1,23
22,1,24
23,1,25
24,1,26
25,1,27
26,1,28
27,1,29
28,1,30
29,1,31
30,1,32
31,1,33
32,1,34
33,1,35
34,1,36
35,1,37
36,1,38
37,1,39
38,1,40
39,1,41
40,1,42
41,1,43
42,1,44
43,1,45
44,1,46
45,1,47
46,1,48
47,2,3
48,2,4
49,2,5
50,2,6
51,2,7
52,2,8
53,2,9
54,2,10
55,2,11
56,2,12
57,2,13
58,2,14
59,2,15
60,2,16
61,2,17
62,2,18
63,2,19
64,2,20
65,2,21
66,2,22
67,2,23
68,2,24
69,2,25
70,2,26
71,2,27
72,2,28
73,2,29
74,2,30
75,2,31
76,2,32
77,2,33
78,2,34
79,2,35
80,2,36
81,2,37
82,2,38
83,2,39
84,2,40
85,2,41
86,2,42
87,2,43
88,2,44
89,2,45
90,2,46
91,2,47
92,2,48
93,3,4
94,3,5
95,3,6
96,3,7
97,3,8
98,3,9
99,3,10
100,3,11
101,3,12
102,3,13
103,3,14
104,3,15
105,3,16
106,3,17
107,3,18
108,3,19
109,3,20
110,3,21
111,3,22
112,3,23
113,3,24
114,3,25
115,3,26
116,3,27
117,3,28
118,3,29
119,3,30
120,3,31
121,3,32
122,3,33
123,3,34
124,3,35
125,3,36
126,3,37
127,3,38
128,3,39
129,3,40
130,3,41
131,3,42
132,3,43
133,3,44
134,3,45
135,3,46
136,3,47
137,3,48
138,4,5
139,4,6
140,4,7
141,4,8
142,4,9
143,4,10
144,4,11
145,4,12
146,4,13
147,4,14
148,4,15
149,4,16
150,4,17
151,4,18
152,4,19
153,4,20
154,4,21
155,4,22
156,4,23
157,4,24
158,4,25
159,4,26
160,4,27
161,4,28
162,4,29
163,4,30
164,4,31
165,4,32
166,4,33
167,4,34
168,4,35
169,4,36
170,4,37
171,4,38
172,4,39
173,4,40
174,4,41
175,4,42
176,4,43
177,4,44
178,4,45
179,4,46
180,4,47
181,4,48
182,5,6
183,5,7
184,5,8
185,5,9
186,5,10
187,5,11
188,5,12
189,5,13
190,5,14
191,5,15
192,5,16
193,5,17
194,5,18
195,5,19
196,5,20
197,5,21
198,5,22
199,5,23
200,5,24
201,5,25
202,5,26
203,5,27
204,5,28
205,5,29
206,5,30
207,5,31
208,5,32
209,5,33
210,5,34
211,5,35
212,5,36
213,5,37
214,5,38
215,5,39
216,5,40
217,5,41
218,5,42
219,5,43
220,5,44
221,5,45
222,5,46
223,5,47
224,5,48
225,6,7
226,6,8
227,6,9
228,6,10
229,6,11
230,6,12
231,6,13
232,6,14
233,6,15
234,6,16
235,6,17
236,6,18
237,6,19
238,6,20
239,6,21
240,6,22
241,6,23
242,6,24
243,6,25
244,6,26
245,6,27
246,6,28
247,6,29
248,6,30
249,6,31
250,6,32
251,6,33
252,6,34
253,6,35
254,6,36
255,6,37
256,6,38
257,6,39
258,6,40
259,6,41
260,6,42
261,6,43
262,6,44
263,6,45
264,6,46
