Pr1,Pr2,Pr3,Pr4,Pr5,Pr6
3.300000000000000000e+03,3.370000000000000000e+02,1.983000000000000000e+03,3.360000000000000000e+02,1.982000000000000000e+03,3.350000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.300000000000000000e+03,3.400000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.299000000000000000e+03,3.410000000000000000e+02,1.985000000000000000e+03,3.400000000000000000e+02,1.982000000000000000e+03,3.390000000000000000e+02
3.299000000000000000e+03,3.410000000000000000e+02,1.985000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.985000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.390000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.302000000000000000e+03,3.380000000000000000e+02,1.982000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.380000000000000000e+02
3.300000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.370000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.380000000000000000e+02,1.982000000000000000e+03,3.360000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.985000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.299000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.390000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.301000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.380000000000000000e+02,1.981000000000000000e+03,3.360000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.350000000000000000e+02,1.981000000000000000e+03,3.350000000000000000e+02
3.300000000000000000e+03,3.420000000000000000e+02,1.985000000000000000e+03,3.420000000000000000e+02,1.982000000000000000e+03,3.410000000000000000e+02
3.302000000000000000e+03,3.410000000000000000e+02,1.788000000000000000e+03,3.410000000000000000e+02,1.821000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.390000000000000000e+02,1.993000000000000000e+03,3.410000000000000000e+02,1.981000000000000000e+03,3.400000000000000000e+02
