x,y,z,region
70.26,-11.02,-10.66,1
71.33,-24.44,1.531,1
59.98,12.26,-10.26,1
54.8,40.99,-9.616,1
59.04,26.43,0.6173,1
41.74,61.61,-8.918,1
15.61,71.88,-8.937,1
31.51,66.01,1.413,1
-17.55,70.38,-11.22,2
-44.62,57.81,-11.12,2
-29.06,67.56,-1.26,2
-50.89,22.9,-14.4,2
-64.89,-0.7235,-13.91,2
-58.32,12.78,-3.955,2
-72.35,-22.24,-12.9,2
-72.17,-32.97,-2.111,2
64.4,1.181,1.752,1
69.48,-8.844,14.27,1
62.71,12.95,11.51,1
65.69,1.195,26.87,1
50.16,49.62,2.446,1
55.08,37.44,13.29,1
41.03,58.93,12.75,1
48.26,43.69,23.35,1
-1.323,70.1,-0.5753,2
16.13,72.16,11.24,1
-15.37,72.29,11.12,2
1.327,64.37,24.94,1
-52.51,46.37,-1.798,2
-41.14,59.39,11.53,2
-59.15,31.6,9.861,2
-49.52,43.11,23.11,2
-69.63,-11.55,-1.151,2
-65.45,2.72,8.454,2
-71.08,-21.41,10.05,2
-69.68,-10.04,24,2
57.54,24.49,25.23,1
57.21,9.608,39.39,1
50.05,30.56,36.72,1
29.38,60.09,25.26,1
36.67,45.63,36.64,1
16.14,57.78,38.05,1
-26.85,62.43,26.24,2
-12.31,58.91,40.02,2
-35.08,46.14,37.52,2
-61.28,16.82,22.76,2
-52.59,28.07,35.65,2
-63.43,2.604,35.99,2
