x,y,z,region
68.2506,5.4234,11,1
62.0508,26.8097,11,1
51.1054,45.4035,11,1
36.245,63.794,11,1
18.5969,72.8895,11,1
-0.5,76,11,2
-19.5969,72.8895,11,2
-37.245,63.794,11,2
-52.1054,45.4035,11,2
-63.0508,26.8097,11,2
-69.2506,5.4234,11,2
65.0843,5.3414,32,1
57.2213,25.7056,32,1
44.5493,42.6785,32,1
28.124,58.8458,32,1
9.3139,65.1939,32,1
-10.3139,65.1939,32,2
-29.124,58.8458,32,2
-45.5493,42.6785,32,2
-58.2213,25.7056,32,2
-66.0843,5.3414,32,2
61.0598,-1.7145,54,1
53.2047,17.653,54,1
39.3606,33.31,54,1
21.1008,43.4774,54,1
0.5,47,54,2
-20.1008,43.4774,54,2
-38.3606,33.31,54,2
-52.2047,17.653,54,2
-60.0598,-1.7145,54,2
45.6587,-2.0527,71,1
37.3421,13.0498,71,1
24.5582,21.2662,71,1
8.8572,27.2363,71,1
-7.8572,27.2363,71,2
-23.5582,21.2662,71,2
-36.3421,13.0498,71,2
-44.6587,-2.0527,71,2
67.3517,18.2918,-8,1
58.4396,38.5503,-8,1
45.2446,55.22,-8,1
28.7421,67.0686,-8,1
10.1518,73.2202,-8,1
-9.1518,73.2202,-8,2
-27.7421,67.0686,-8,2
-44.2446,55.22,-8,2
-57.4396,38.5503,-8,2
-66.3517,18.2918,-8,2
