Label of SD or CH,Brodmann Area (Chris rorden' MRIcro),Percentage
S1,20 - Inferior Temporal gyrus,0.1115
,21 - Middle Temporal gyrus,0.8885
,,
S2,38 - Temporopolar area,1.0000
,,
S3,10 - Frontopolar area,0.1020
,11 - Orbitofrontal area,0.7857
,47 - Inferior prefrontal gyrus,0.1122
,,
S4,10 - Frontopolar area,0.1317
,11 - Orbitofrontal area,0.6749
,46 - Dorsolateral prefrontal cortex,0.0329
,47 - Inferior prefrontal gyrus,0.1605
,,
S5,21 - Middle Temporal gyrus,0.2815
,38 - Temporopolar area,0.7185
,,
S6,20 - Inferior Temporal gyrus,0.6026
,21 - Middle Temporal gyrus,0.3974
,,
S7,6 - Pre-Motor and Supplementary Motor Cortex,0.4051
,22 - Superior Temporal Gyrus,0.0443
,43 - Subcentral area,0.2816
,48 - Retrosubicular area,0.2690
,,
S8,45 - pars triangularis Broca's area,0.4259
,46 - Dorsolateral prefrontal cortex,0.5741
,,
S9,10 - Frontopolar area,1.0000
,,
S10,45 - pars triangularis Broca's area,0.5985
,46 - Dorsolateral prefrontal cortex,0.4015
,,
S11,22 - Superior Temporal Gyrus,0.7270
,43 - Subcentral area,0.1414
,48 - Retrosubicular area,0.1316
,,
S12,9 - Dorsolateral prefrontal cortex,0.0425
,44 - pars opercularis_ part of Broca's area,0.7799
,45 - pars triangularis Broca's area,0.1776
,,
S13,9 - Dorsolateral prefrontal cortex,0.5093
,10 - Frontopolar area,0.0047
,46 - Dorsolateral prefrontal cortex,0.4860
,,
S14,9 - Dorsolateral prefrontal cortex,0.6368
,46 - Dorsolateral prefrontal cortex,0.3632
,,
S15,6 - Pre-Motor and Supplementary Motor Cortex,0.1978
,9 - Dorsolateral prefrontal cortex,0.0149
,44 - pars opercularis_ part of Broca's area,0.7873
,,
D1,21 - Middle Temporal gyrus,0.8356
,38 - Temporopolar area,0.1164
,48 - Retrosubicular area,0.0479
,,
D2,10 - Frontopolar area,0.0039
,46 - Dorsolateral prefrontal cortex,0.7297
,47 - Inferior prefrontal gyrus,0.2664
,,
D3,10 - Frontopolar area,0.2222
,11 - Orbitofrontal area,0.7778
,,
D4,45 - pars triangularis Broca's area,0.0844
,46 - Dorsolateral prefrontal cortex,0.3460
,47 - Inferior prefrontal gyrus,0.5696
,,
D5,21 - Middle Temporal gyrus,0.9867
,22 - Superior Temporal Gyrus,0.0133
,,
