channel_num,roi_num,percentage,percentage_sum,channel_percentage
1,◊Û∂•“∂,0.9655,2.0702,0.46638006
1,◊ÛÚ®“∂,0.0345,7.6767,0.004494119
2,”“∂Ó“∂,0.6087,19.1097,0.031852933
2,”“∂Ó“∂,0.3913,19.1097,0.020476512
3,”“∂Ó“∂,0.2043,19.1097,0.010690906
3,”“∂Ó“∂,0.7778,19.1097,0.040701843
3,”“∂Ó“∂,0.0179,19.1097,0.000936697
4,”“∂Ó“∂,0.3265,19.1097,0.017085564
4,”“∂Ó“∂,0.4261,19.1097,0.022297577
4,”“∂Ó“∂,0.0241,19.1097,0.00126114
4,”“Ú®“∂,0.2234,7.0728,0.031585793
5,”“∂Ó“∂,0.0033,19.1097,0.000172687
5,”“∂Ó“∂,0.3192,19.1097,0.016703559
5,”“∂Ó“∂,0.1368,19.1097,0.007158668
5,”“Ú®“∂,0.5407,7.0728,0.0764478
6,”“∂Ó“∂,0.2828,19.1097,0.014798767
6,”“∂Ó“∂,0.1148,19.1097,0.00600742
6,”“∂Ó“∂,0.3238,19.1097,0.016944274
6,”“Ú®“∂,0.2787,7.0728,0.039404479
7,”“∂Ó“∂,0.1629,19.1097,0.008524467
7,”“∂Ó“∂,0.8371,19.1097,0.043804979
8,”“∂Ó“∂,0.5548,19.1097,0.029032376
8,”“∂Ó“∂,0.4452,19.1097,0.023297069
9,”“∂Ó“∂,0.011,19.1097,0.000575624
9,”“∂Ó“∂,0.989,19.1097,0.051753821
10,”“∂Ó“∂,0.099,19.1097,0.005180615
10,◊Û∂Ó“∂,0.5198,10.8157,0.048059765
10,◊Û∂Ó“∂,0.3812,10.8157,0.03524506
11,◊Û∂Ó“∂,0.4324,10.8157,0.03997892
11,◊Û∂Ó“∂,0.5676,10.8157,0.052479266
12,”“∂Ó“∂,0.9897,19.1097,0.051790452
12,◊Û∂Ó“∂,0.0103,10.8157,0.000952319
13,”“∂Ó“∂,0.9762,19.1097,0.051084004
13,”“∂Ó“∂,0.0238,19.1097,0.001245441
14,”“∂Ó“∂,0.0341,19.1097,0.001784434
14,”“∂Ó“∂,0.6177,19.1097,0.032323898
14,”“∂Ó“∂,0.3481,19.1097,0.01821588
15,”“∂Ó“∂,0.1467,19.1097,0.00767673
15,”“∂Ó“∂,0.8533,19.1097,0.044652716
16,”“∂Ó“∂,0.0955,19.1097,0.004997462
16,”“∂Ó“∂,0.6688,19.1097,0.034997933
16,”“∂Ó“∂,0.2357,19.1097,0.01233405
17,◊Û∂Ó“∂,0.0271,10.8157,0.002505617
17,◊Û∂Ó“∂,0.2508,10.8157,0.023188513
17,◊Û∂Ó“∂,0.0678,10.8157,0.006268665
17,◊Û∂Ó“∂,0.0678,10.8157,0.006268665
17,◊Û∂Ó“∂,0.5864,10.8157,0.05421748
18,”“Ú®“∂,0.3805,7.0728,0.053797647
18,◊Û∂Ó“∂,0.5314,10.8157,0.04913228
18,◊Û∂Ó“∂,0.0881,10.8157,0.008145566
19,◊Û∂Ó“∂,0.4277,10.8157,0.039544366
19,◊Û∂Ó“∂,0.0193,10.8157,0.001784443
19,◊Û∂Ó“∂,0.2669,10.8157,0.02467709
19,◊ÛÚ®“∂,0.2862,7.6767,0.037281644
20,”“Ú®“∂,0.5623,7.0728,0.079501753
20,◊ÛÚ®“∂,0.0671,7.6767,0.008740735
20,◊ÛÚ®“∂,0.3706,7.6767,0.048275952
21,◊ÛÚ®“∂,0.1522,7.6767,0.019826227
21,◊ÛÚ®“∂,0.8478,7.6767,0.110438079
22,◊ÛÚ®“∂,0.9792,7.6767,0.127554809
22,◊ÛÚ®“∂,0.0208,7.6767,0.002709498
23,◊ÛÚ®“∂,0.4431,7.6767,0.057720114
23,◊ÛÚ®“∂,0.5569,7.6767,0.072544192
24,◊ÛÚ®“∂,0.8,7.6767,0.104211445
24,◊ÛÚ®“∂,0.2,7.6767,0.026052861
25,”“∂Ó“∂,0.8875,19.1097,0.046442383
25,”“Ú®“∂,0.1125,7.0728,0.015906006
26,”“Ú®“∂,1,7.0728,0.141386721
27,”“Ú®“∂,1,7.0728,0.141386721
28,”“Ú®“∂,1,7.0728,0.141386721
29,”“∂•“∂,0.6715,1.2551,0.53501713
29,”“Ú®“∂,0.3285,7.0728,0.046445538
30,”“∂Ó“∂,0.6091,19.1097,0.031873865
30,”“Ú®“∂,0.3909,7.0728,0.055268069
31,”“∂Ó“∂,0.9964,19.1097,0.052141059
31,◊Û∂Ó“∂,0.0036,10.8157,0.000332849
32,”“∂Ó“∂,0.9016,19.1097,0.047180228
32,”“Ú®“∂,0.0984,7.0728,0.013912453
33,◊Û∂Ó“∂,0.5385,10.8157,0.049788733
33,◊Û∂Ó“∂,0.4114,10.8157,0.038037298
33,◊Û∂Ó“∂,0.0502,10.8157,0.004641401
34,”“∂Ó“∂,0.2691,19.1097,0.014081854
34,”“Ú®“∂,0.093,7.0728,0.013148965
34,◊Û∂Ó“∂,0.0532,10.8157,0.004918775
34,◊Û∂Ó“∂,0.5847,10.8157,0.054060301
35,◊Û∂•“∂,0.2033,2.0702,0.098203072
